"ID",title,descr,bridgeId,bridgeName,assetClass,route,routeNumber,state,region,lga,latitude,longitude,location,assetOwner,managingAuthority,structureType,yearBuilt,designLoad,designStandard,clearanceHeight,spanLength,material,spanCount,totalLength,deckWidth,numberOfLanes,condition,conditionRating,structuralAdequacyRating,postingStatus,conditionStandard,seismicZone,asBuiltDrawingReference,scourDepthLastMeasured,floodImmunityAriYears,floodImpacted,highPriorityAsset,remarks,status,scourRisk,lastInspectionDate,nhvrAssessed,nhvrAssessmentDate,loadRating,pbsApprovalClass,importanceLevel,averageDailyTraffic,heavyVehiclePercent,gazetteReference,nhvrReferenceUrl,freightRoute,overMassRoute,hmlApproved,bDoubleApproved,dataSource,sourceReferenceUrl,openDataReference,sourceRecordId,restriction_ID,geoJson,stock,price,currency_code
,,,BRG-NSW-001,Lennox Bridge,Road Bridge,,,NSW,Blue Mountains,Blue Mountains City,-33.754222,150.632389,,Transport for NSW,Transport for NSW,Masonry Arch,1833,,,4.2,15,Sandstone,1,30,,2,2,2,,Unrestricted,,Zone 1,,,100,FALSE,FALSE,Heritage-listed oldest stone arch bridge on mainland Australia (1833). Single-lane only. Restricted to light vehicles and pedestrians.,Active,Low,,TRUE,,,General Access,,2500,3,,,FALSE,FALSE,FALSE,FALSE,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Lennox_Bridge_(Glenbrook),https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-NSW-001,,"{""type"":""Point"",""coordinates"":[150.632389,-33.754222]}",,,
,,,BRG-NSW-002,Lansdowne Bridge,Road Bridge,,,NSW,South West Sydney,Fairfield,-33.890028,150.967083,,Transport for NSW,Transport for NSW,Masonry Arch,1836,,,,33.5,Sandstone,1,33.5,,1,2,2,,Unrestricted,,Zone 1,,,50,FALSE,FALSE,Heritage sandstone arch bridge over Prospect Creek. Australia's oldest single-span stone arch bridge.,Active,Low,,TRUE,,,General Access,,3000,4,,,FALSE,FALSE,FALSE,FALSE,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Lansdowne_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-NSW-002,,"{""type"":""Point"",""coordinates"":[150.967083,-33.890028]}",,,
,,,BRG-NSW-003,Hampden Bridge,Road Bridge,,,NSW,Illawarra,Kiama,-34.727417,150.520889,,Transport for NSW,Transport for NSW,Suspension,1898,,,5,77,Timber,1,77,,1,2,2,,Restricted,,Zone 1,,,20,TRUE,TRUE,"Only surviving wooden suspension bridge from the Victorian era in Australia. One-lane, weight restricted. Heritage listed.",Active,Medium,,FALSE,,,Not Assessed,,1500,5,,,FALSE,FALSE,FALSE,FALSE,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Hampden_Bridge_(Kangaroo_Valley),https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-NSW-003,,"{""type"":""Point"",""coordinates"":[150.520889,-34.727417]}",,,
,,,BRG-NSW-004,Pyrmont Bridge,Road Bridge,,,NSW,Sydney Metro,City of Sydney,-33.870556,151.200722,,City of Sydney Council,City of Sydney Council,Truss,1902,,,,50,Steel,7,369,,2,2,2,,Unrestricted,,Zone 1,,,100,FALSE,FALSE,Heritage-listed electrified swing bridge over Cockle Bay / Darling Harbour. Opens for marine traffic. Pedestrian/light vehicle only.,Active,Low,,FALSE,,,Not Assessed,,25000,2,,,FALSE,FALSE,FALSE,FALSE,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Pyrmont_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-NSW-004,,"{""type"":""Point"",""coordinates"":[151.200722,-33.870556]}",,,
,,,BRG-NSW-005,Sydney Harbour Bridge,Road Bridge,,,NSW,Sydney Metro,North Sydney,-33.852056,151.21075,,Transport for NSW,Transport for NSW,Arch Bridge,1932,,,49,503,Steel,1,1149,,8,1,1,,Unrestricted,,Zone 1,,,100,FALSE,TRUE,"Iconic steel through-arch bridge. Carries 8 lanes road, 2 rail, 1 cycleway and 1 footway. Major strategic asset under continuous monitoring.",Active,Low,,TRUE,,,Level 4,,160000,18.5,,,TRUE,TRUE,TRUE,TRUE,NSW Open Data â TfNSW Asset Registry,https://opendata.transport.nsw.gov.au/dataset/nsw-state-roads-vertical-clearances,https://data.nsw.gov.au/data/dataset/2-nsw-state-roads-vertical-clearances,BRG-NSW-005,,"{""type"":""LineString"",""coordinates"":[[151.206,-33.852],[151.2115,-33.852]]}",,,
,,,BRG-NSW-006,Anzac Bridge,Road Bridge,,,NSW,Sydney Metro,City of Sydney,-33.869111,151.185722,,Transport for NSW,Transport for NSW,Cable-stayed,1995,,,40,345,Concrete and Steel,3,805,,6,2,2,,Unrestricted,,Zone 1,,,100,FALSE,TRUE,Major cable-stayed bridge linking Pyrmont to Rozelle. Urban freight corridor. Regular inspections. Deck monitoring active.,Active,Low,,TRUE,,,Level 3,,95000,16.25,,,TRUE,FALSE,TRUE,FALSE,NSW Open Data â TfNSW Asset Registry,https://opendata.transport.nsw.gov.au/dataset/nsw-state-roads-vertical-clearances,https://data.nsw.gov.au/data/dataset/2-nsw-state-roads-vertical-clearances,BRG-NSW-006,,"{""type"":""LineString"",""coordinates"":[[151.188,-33.869],[151.183,-33.869]]}",,,
,,,BRG-NSW-007,Gladesville Bridge,Road Bridge,,,NSW,Sydney Metro,Ryde,-33.842194,151.147861,,Transport for NSW,Transport for NSW,Arch Bridge,1964,,,25,305,Concrete,1,488,,4,2,2,,Unrestricted,,Zone 1,,,50,FALSE,FALSE,Concrete arch bridge over Parramatta River. Was world's longest concrete arch (305m) at opening until 1980.,Active,Low,,TRUE,,,Level 2,,65000,10,,,TRUE,FALSE,FALSE,FALSE,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Gladesville_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-NSW-007,,"{""type"":""Point"",""coordinates"":[151.147861,-33.842194]}",,,
,,,BRG-NSW-008,Mooney Mooney Creek Bridge,Road Bridge,,,NSW,Central Coast,Gosford,-33.432444,151.253639,,Transport for NSW,Transport for NSW,Box Girder,1986,,,84,220,Prestressed Concrete,4,485,,4,2,2,,Unrestricted,,Zone 1,,,100,FALSE,FALSE,One of Australia's highest bridges at 84m above the valley floor. Prestressed concrete balanced cantilever construction.,Active,Low,,TRUE,,,Level 3,,45000,12,,,TRUE,FALSE,TRUE,FALSE,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Mooney_Mooney_Creek_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-NSW-008,,"{""type"":""Point"",""coordinates"":[151.253639,-33.432444]}",,,
,,,BRG-NSW-009,Grafton Bridge,Road Bridge,,,NSW,Northern NSW,Clarence Valley,-29.698056,152.942222,,Transport for NSW,Transport for NSW,Truss,1932,,,18,525,Steel and Concrete,2,525,,2,3,3,,Restricted,,Zone 1,,,20,TRUE,TRUE,Bascule truss cantilever bridge over Clarence River. Periodic load restrictions. Scour monitoring in place. Heritage asset.,Active,High,,FALSE,,,Not Assessed,,15000,12,,,FALSE,FALSE,FALSE,FALSE,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Grafton_Bridge_(New_South_Wales),https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-NSW-009,,"{""type"":""Point"",""coordinates"":[152.942222,-29.698056]}",,,
,,,BRG-NSW-010,Sea Cliff Bridge,Road Bridge,,,NSW,Illawarra,Wollongong,-34.254111,150.973472,,Transport for NSW,Transport for NSW,Box Girder,2005,,,,108,Prestressed Concrete,4,455,,2,1,1,,Unrestricted,,Zone 1,,,100,FALSE,FALSE,Clifftop cantilever box girder on Lawrence Hargrave Drive. Replaced the often-flooded road section. Iconic coastal bridge.,Active,Low,,TRUE,,,General Access,,12000,5,,,FALSE,FALSE,FALSE,FALSE,Wikipedia â List of bridges in Australia,https://en.wikipedia.org/wiki/Sea_Cliff_Bridge,https://en.wikipedia.org/wiki/List_of_bridges_in_Australia,BRG-NSW-010,,"{""type"":""Point"",""coordinates"":[150.973472,-34.254111]}",,,
